"Country","Total_deaths","Population","Deaths_million"
"SRB",17526,"6664449",2629.77479458542
"SSD",138,"10913164",12.6452786744522
"STP",77,"227380",338.64016184361
"SUR",1398,"618040",2261.98951524173
"SVK",20823,"5431752",3833.56972115074
"SVN",7012,"2111986",3320.09776579958
"SWE",21827,"10486941",2081.35051012493
"SWZ",1422,"1201670",1183.35316684281
"SYC",172,"119878",1434.79203857255
"SYR",3163,"22125249",142.958843084659
"TCD",194,"17723315",10.946033515739
"TGO",290,"8848699",32.7731794244555
"THA",33669,"71697030",469.601042051533
"TJK",125,"9952787",12.5592962051735
"TLS",138,"1341296",102.885567391538
"TON",12,"106858",112.298564450018
"TTO",4283,"1531044",2797.4375654782
"TUN",29284,"12356117",2370.00021932457
"TUR",101492,"84979913",1194.30576494
"TUV",0,"11312",0
"TWN",15273,"23349666",654.099292041265
"TZA",845,"65497748",12.9012069239388
"UGA",3630,"47249585",76.826071594068
"UKR",118689,"3.8e+07",3123.39473684211
"URY",7562,"3422794",2209.30619838646
"USA",1092779,"333287557",3278.78727257736
"UZB",1637,"35648100",45.9211009843442
"VCT",119,"103948",1144.80317081618
"VEN",5832,"28301696",206.065389155477
"VNM",43186,"98186856",439.834838993113
"VUT",14,"326740",42.8475240252188
"WSM",29,"222382",130.406237914939
"YEM",2159,"33696614",64.0717194908664
"ZAF",102568,"59893885",1712.4953574142
"ZMB",4024,"20017675",201.022346501279
"ZWE",5637,"16320537",345.393046809673
